num_estacion,nombre,tipo,alcaldia_municipio,estado_ciudad,longitud,latitud,linea_id,linea_nombre
4,Circunvalación,Intermedia,Naucalpan de Juárez,EDOMEX,-99.2306362052263,19.5193013624258,73,Periférico Interior Norte
5,Viveros de Atizapán,Intermedia,Tlalnepantla de Baz,EDOMEX,-99.2185048168838,19.5185963862678,73,Periférico Interior Norte
6,Presidente Juárez,Intermedia,Tlalnepantla de Baz,EDOMEX,-99.2117073099832,19.5168414273159,73,Periférico Interior Norte
7,Tlalnepantla,Intermedia,Tlalnepantla de Baz,EDOMEX,-99.1964973796254,19.5170094114134,73,Periférico Interior Norte
8,Av de las Granjas,Intermedia,Tlalnepantla de Baz,EDOMEX,-99.1793753322663,19.5116041682883,73,Periférico Interior Norte
9,El Heraldo,Intermedia,Tlalnepantla de Baz,EDOMEX,-99.1729985503897,19.5145114374118,73,Periférico Interior Norte
10,Vaso Regulador de Carretas,Intermedia,Tlalnepantla de Baz,EDOMEX,-99.1655936278391,19.5124915987051,73,Periférico Interior Norte
11,Progreso Nacional,Intermedia,Tlalnepantla de Baz,EDOMEX,-99.1603951642349,19.512747482633,73,Periférico Interior Norte
12,Fábricas/Periférico,Intermedia,Tlalnepantla de Baz,EDOMEX,-99.154068179484,19.5146094622948,73,Periférico Interior Norte
13,Río San Joaquín,Intermedia,Azcapotzalco,CDMX,-99.1430542558633,19.5180624295389,73,Periférico Interior Norte
14,Acueducto,Intermedia,Gustavo A. Madero,CDMX,-99.1345326557674,19.5179557253226,73,Periférico Interior Norte
15,La Presa,Intermedia,Gustavo A. Madero,CDMX,-99.1242526088899,19.5191546977744,73,Periférico Interior Norte
16,Hermilo Mena,Transbordo,Gustavo A. Madero,CDMX,-99.114145246139,19.5214580487031,73,Periférico Interior Norte
17,Constituyentes de 1857,Intermedia,Gustavo A. Madero,CDMX,-99.1012458364103,19.5147915769313,73,Periférico Interior Norte
18,Río de los Remedios MB/Periférico,Transbordo,Ecatepec de Morelos,EDOMEX,-99.0859313881947,19.5071286247817,73,Periférico Interior Norte
19,Gran Canal de Desagüe,Intermedia,Ecatepec de Morelos,EDOMEX,-99.0779649889604,19.5038193655209,73,Periférico Interior Norte
20,Parque Orizaba,Intermedia,Ecatepec de Morelos,EDOMEX,-99.0642759104053,19.4982680721875,73,Periférico Interior Norte
21,Valle de Santiago,Intermedia,Ecatepec de Morelos,EDOMEX,-99.053966727543,19.4938637992146,73,Periférico Interior Norte
