1099,Miguel Ángel de Quevedo,STC0319,Intermedia,Coyoacán,1983.0,CDMX,-99.1809612704389,19.3459680333546,3,19,5079,STC Metro,t,
1100,Copilco,STC0320,Intermedia,Coyoacán,1983.0,CDMX,-99.1770617078103,19.3363109471997,3,20,5067,STC Metro,t,
1101,Universidad,STC0321,Terminal,Coyoacán,1983.0,CDMX,-99.1739074300729,19.3244051170463,3,21,5084,STC Metro,t,
1102,Santa Anita,STC0401,Terminal / Transbordo,Iztacalco,1982.0,CDMX,-99.1206679276503,19.4040706301036,4,1,5094,STC Metro,t,
1103,Jamaica,STC0402,Transbordo,Venustiano Carranza,1982.0,CDMX,-99.121734264669,19.4109197881872,4,2,5091,STC Metro,t,
1104,Fray Servando,STC0403,Intermedia,Venustiano Carranza,1982.0,CDMX,-99.1206000071953,19.4215581705628,4,3,5090,STC Metro,t,
1105,Candelaria,STC0404,Transbordo,Venustiano Carranza,1981.0,CDMX,-99.1209314602683,19.4293983320263,4,4,5088,STC Metro,t,
1106,Morelos,STC0405,Transbordo,Venustiano Carranza,1981.0,CDMX,-99.1181070872127,19.4398117399482,4,5,5093,STC Metro,t,
1107,Canal del Norte,STC0406,Intermedia,Venustiano Carranza,1981.0,CDMX,-99.1158540317122,19.4488056838107,4,6,5087,STC Metro,t,
1108,Consulado,STC0407,Transbordo,Gustavo A. Madero,1981.0,CDMX,-99.1139550276873,19.4580115667824,4,7,5089,STC Metro,t,
1109,Bondojito,STC0408,Intermedia,Gustavo A. Madero,1981.0,CDMX,-99.1118629046056,19.4649004627173,4,8,5086,STC Metro,t,
1110,Talismán,STC0409,Intermedia,Gustavo A. Madero,1981.0,CDMX,-99.1079790660266,19.4743684233609,4,9,5095,STC Metro,t,
1111,Martín Carrera,STC0410,Terminal / Transbordo,Gustavo A. Madero,1981.0,CDMX,-99.1043527194882,19.4849686459281,4,10,5092,STC Metro,t,
1112,Tlanepantla,STC0501,Terminal / Transbordo,Tlanepantla de Baz,2040.0,EDOMEX,-99.1839269965122,19.5365613292565,5,1,5100,STC Metro,t,
1113,Ceylán,STC0502,Intermedia,Tlanepantla de Baz,2040.0,EDOMEX,-99.1783670589012,19.5302588531287,5,2,5101,STC Metro,t,
1114,Tenayuca,STC0503,Intermedia,Tlanepantla de Baz,2040.0,EDOMEX,-99.1699818852846,19.528993302592,5,3,5102,STC Metro,t,
1115,Santa Rosa,STC0504,Intermedia,Tlanepantla de Baz,2040.0,EDOMEX,-99.1650751597735,19.5282388209034,5,4,5103,STC Metro,t,
